no;id;name;host_id;host_name;neighbourhood;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365;number_of_reviews_ltm
608;5030747;Big Spacious Fully-Furnished 1 Bed 2 baths Kaset;25969500;Armaj;Chatu Chak;1.383.903;1.005.824;Entire home/apt;900;3;18;14/11/2022;0.2;2;308;4
609;4842227;Sukhumvit 500meters fromBTS UdomSuk;24810036;Chatchada;Phra Khanong;136.823;10.060.532;Entire home/apt;3500;2;148;12/12/2022;1.56;2;356;2
610;4842318;Baan Waan La Moon rm3 DBL 4.4*3.4;24898195;Baan Waan La Moon;Bangkok Noi;1.375.508;10.048.446;Private room;850;2;3;25/09/2017;0.03;4;362;0
611;5032147;Condo lette light convent;25978075;Pattrarawee;Bang Rak;1.372.452;10.053.249;Private room;1000;180;7;09/04/2015;0.07;3;365;0
612;4857224;BED STATION Hostel;24987548;BED STATION Hostel;Ratchathewi;1.375.183;10.053.207;Shared room;450;1;14;14/09/2019;0.14;3;365;0
613;4857716;Good Day 6 Bunk Beds Dorm room B;7472382;Chatri;Ratchathewi;1.375.191;10.053.677;Shared room;416;1;41;06/12/2022;0.44;10;365;1
614;4857894;Good Day 8 Bunk Beds Dorm room B;7472382;Chatri;Ratchathewi;1.375.199;10.053.672;Shared room;346;1;23;30/01/2020;0.24;10;360;0
615;4863511;J. No 14 Amazing Antique B&B_2;24218787;Pannipa;Khlong San;1.372.246;10.050.246;Private room;1500;1;132;08/02/2020;1.35;9;360;0
616;4863603;J. No 14 Amazing Antique B&B_5;24218787;Pannipa;Khlong San;1.372.244;10.050.241;Private room;1500;1;277;24/01/2020;2.84;9;360;0
617;4863649;J. No 14 Amazing Antique B&B_6;24218787;Pannipa;Khlong San;1.372.228;10.050.403;Private room;1500;1;184;11/08/2022;1.89;9;360;1
618;5982649;Sukhumvit 101 near BTS & airport;4414697;Jah;Phra Khanong;1.369.124;10.061.036;Entire home/apt;750;30;66;15/04/2018;0.72;1;271;0
619;5982999;RetroStunnedView+1StepToBTS+Netflix+SmartTV;2940438;Kinifrog;Khlong San;1.372.195;10.050.304;Entire home/apt;900;28;76;30/11/2022;0.82;19;324;5
620;5042327;A Place Like Home For Family Trip;26032778;Saifon;Ratchathewi;1.375.395;10.052.698;Entire home/apt;1500;15;32;14/01/2016;0.33;2;354;0
